,Name,City,Portfolio Manager,Trustee,Supervisory organisation
494,Fern Wealth AG,Zug,X,,FINcontrol Suisse AG
495,Feuerstein Schelling & Partner AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
496,FF MARCUARD SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
497,FFM Gestion SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
498,FGP Wealth Management SA,Lugano,X,,OSFIN Organisation de surveillance financière
499,FICAS AG,Zug,X,,FINcontrol Suisse AG
500,Fidelity Treuhand und Verwaltungs AG,Glattpark (Opfikon),X,,FINcontrol Suisse AG
501,FIDES CAPITAL SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
502,FIDES Trustees SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
503,FIDGEN TRUST SA,Lugano,,X,OSFIN Organisation de surveillance financière
504,FIDINVEST GLOBAL SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
505,Fiducia Trustee (Zurich) GmbH,Zürich,,X,OSFIN Organisation de surveillance financière
506,Fiduciaria Regli Sagl,Lugano,X,,OSFIN Organisation de surveillance financière
507,Fidus Trust Management GmbH,Wollerau,,X,OSFIN Organisation de surveillance financière
508,Filotimo Asset Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
509,FINAD AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
510,Finakey SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
511,Financial Vision SA,Grono,X,,OSFIN Organisation de surveillance financière
512,Financière Atlas SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
513,FINANCIERE HIGHGATE SA,Altendorf,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
514,Finanz Konzept AG,Zürich,X,,FINcontrol Suisse AG
515,Finanzbegleitung AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
516,Finanzboutique AG,Zürich,X,,OSFIN Organisation de surveillance financière
517,FINANZLAB SA,Lausanne,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
518,Finanzwerk AG,Frick,X,,OSFIN Organisation de surveillance financière
519,Fincor Capital SA,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
