,Name,City,Portfolio Manager,Trustee,Supervisory organisation
958,"OGI-Conseil, Othenin-Girard Sàrl",Aigle,X,,OSFIN Organisation de surveillance financière
959,Oikos Wealth Management GmbH,Oberweningen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
960,OMEFID TREUHAND AG,Kilchberg ZH,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
961,Omega Partners AG,Zürich,X,,OSFIN Organisation de surveillance financière
962,OMEGA WEALTH MANAGEMENT SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
963,Omnium Capital Management Sàrl,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
964,Onda Consultant SA,Melide,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
965,Onvest AG,Basel,X,,FINcontrol Suisse AG
966,Onyx et Cie SA,Genève,X,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
967,Opal Investment Services SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
968,Open Partners Asset Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
969,Opera Investment Partners AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
970,Optimus Family and Wealth Management AG,Zürich,X,,OSFIN Organisation de surveillance financière
971,Orbis Consulting AG,Zürich,,X,FINcontrol Suisse AG
972,ORIEL CAPITAL SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
973,Oriens Swiss Advisors AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
974,Ormy Gestion SA,Flanthey,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
975,Orthos Advisory AG,Zürich,X,,FINcontrol Suisse AG
976,Ovan Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
977,OXAM Gestion SA,Monthey,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
978,Oyat Advisors GmbH,Zürich,X,,FINcontrol Suisse AG
979,Paicolex Trust Management AG,Küsnacht ZH,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
980,Palms Family Office Suisse SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
981,Palomar Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
982,"Pangerc, Schellenberg & Partner Asset Management AG",Zürich,X,,OSFIN Organisation de surveillance financière
983,Parade Capital AG,Pfäffikon SZ,X,,OSFIN Organisation de surveillance financière
984,PARfinance SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
985,Pariter Services AG,Zürich,X,,FINcontrol Suisse AG
986,Parkview AG,Zürich,X,,FINcontrol Suisse AG
987,Path Invest Switzerland SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
988,"Patrick Liebi & Partner, Vorsorge- und Finanzplanungszentrum GmbH",Wettingen,X,,OSFIN Organisation de surveillance financière
989,Pätzold Investment Management,Zürich,X,,FINcontrol Suisse AG
990,Paul Geissbühler + Partner AG,Zürich,X,,OSFIN Organisation de surveillance financière
991,PB Thur AG,Lichtensteig,X,,FINcontrol Suisse AG
992,Pegasus Investment Services AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
993,Pegasus Swiss AG,Zug,X,,OSFIN Organisation de surveillance financière
994,Penta Asset Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
995,Per4m SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
996,Perennium SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
997,PERLE FAMILY OFFICE GmbH,Meggen,X,,FINcontrol Suisse AG
998,Pernet Portfolio Management,Bäch SZ,X,,FINcontrol Suisse AG
999,Perpetual Wealth AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1000,Peter J. Lehner & Partner AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1001,PETER NÜNLIST AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1002,Pfalz Finanz AG,Zürich,X,,FINcontrol Suisse AG
1003,PFP Hefele & Partner AG,Pfäffikon ZH,X,,OSFIN Organisation de surveillance financière
1004,PH Financial Services AG,Zürich,X,,FINcontrol Suisse AG
1005,Phanar Asset Management AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1006,Phidias Gestion SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1007,Philos & Partners AG,Zürich,X,,FINcontrol Suisse AG
1008,Phoenix Finance SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1009,Phosphor Asset Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1010,PiC Finance SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1011,Pictet North America Advisors SA,Carouge GE,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1012,Pilatus Partners AG,Cham,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1013,PILLAR CAPITAL AG,Zug,X,,OSFIN Organisation de surveillance financière
1014,Pilotage Private Wealth AG,Zürich,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1015,pim Asset Services AG,St. Gallen,X,,FINcontrol Suisse AG
1016,Pistolese Asset Management AG,Baar,X,,OSFIN Organisation de surveillance financière
1017,PIT Investment & Trust AG,Baar,X,,FINcontrol Suisse AG
1018,PKAM AG,Thalwil,X,,FINcontrol Suisse AG
1019,Platinum Swiss Partners SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1020,Plus 41 Capital AG,Zürich,X,,FINcontrol Suisse AG
1021,Plus One SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1022,Plutus Investments SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1023,PMP FINANZA SA,Lugano,X,,OSFIN Organisation de surveillance financière
1024,PMpartners AG Portfolio Management Services,Luzern,X,,FINcontrol Suisse AG
1025,Pohl & Partner Asset Management GmbH,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1026,POLLAK VERWALTUNGEN AG,Zürich,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1027,Pomery Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1028,Portas Capital AG,Dietikon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1029,PPP Invest AG,Hünenberg,X,,FINcontrol Suisse AG
1030,Pramadex SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1031,PraxisIFM Trustees SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1032,Preher Asset Management GmbH,Zofingen,X,,FINcontrol Suisse AG
1033,Premiere Enterprise AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1034,Premium Assets SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1035,Premium Capital Advisors AG,Zürich,X,,FINcontrol Suisse AG
1036,Premium Helvetic Consulting AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1037,Premium Strategy Partners AG,Zürich,X,,FINcontrol Suisse AG
1038,PRESTINVEST SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1039,Prevalor Partner AG Vermögensverwaltung und Beratung,Baar,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1040,Previse Capital Partners SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1041,Priban SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1042,Prime Partners SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1043,PrimeGate SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1044,Primenest SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1045,Primis Investment (Suisse) SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1046,Primus Gestione Patrimoniale SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1047,Principal Vermögensverwaltung AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1048,Principalis AG,Bäch SZ,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1049,Principalium Capital AG,Wollerau,X,,OSFIN Organisation de surveillance financière
1050,Prismafin SA,Chiasso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1051,Priva-Corp Advisors AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1052,PRIVAXIS SERVICES SA,Echichens,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1053,PRIVEO Vermögensverwaltung AG,Luzern,X,,FINcontrol Suisse AG
1054,Privilège Ventures SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1055,Privus AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1056,PRO GESTION SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1057,Profinvest Professional and Financial Investments SA,Chiasso,X,,OSFIN Organisation de surveillance financière
1058,PROGREDO AG,Zürich,X,,FINcontrol Suisse AG
1059,Prophina AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1060,Proseba (Schweiz) AG,Basel,X,,OSFIN Organisation de surveillance financière
1061,PROSPECTIVE VALLEY SA,Lausanne,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1062,Prospera-Invest Vermögensverwaltung AG,Zollikerberg,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1063,Prosperis Sustainable Wealth Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1064,Prosperitas Asset Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1065,Provalia Capital Sàrl,La Rippe,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1066,Proventus AG Vermögensverwaltung,Zürich,X,,FINcontrol Suisse AG
1067,Providenzia Wealth Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1068,Prysm Gestion SA,Châtelaine,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1069,Pure Value Metrics AG,Pfäffikon SZ,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1070,Pureos Partners AG,Pfäffikon SZ,X,,OSFIN Organisation de surveillance financière
1071,PWA Private Wealth Advisors AG,Cham,X,,OSFIN Organisation de surveillance financière
1072,PWI Private Wealth Invest AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1073,PWM Private Wealth Managers SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1074,Pythagoras Partners GmbH,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1075,Q TRUSTEES AG,Zürich,,X,FINcontrol Suisse AG
1076,Q WEALTH AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1077,Qaerus Finance SA,Cologny,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1078,QBIT Capital AG,Zürich,X,,FINcontrol Suisse AG
1079,QCORE AG,Zug,X,,FINcontrol Suisse AG
1080,Quadrik Asset Management AG,Zürich,X,,OSFIN Organisation de surveillance financière
1081,Quadro Invest AG,Cham,X,,FINcontrol Suisse AG
1082,Quantamental AG,Basel,X,,FINcontrol Suisse AG
1083,QuantArea AG,Stettlen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1084,QUANTEVIOUR SA,Le Mont-sur-Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1085,Quantum Suisse Capital AG,Uitikon Waldegg,X,,FINcontrol Suisse AG
1086,Quantum Wealth SA,Lugano 2 Paradiso Caselle,X,,OSFIN Organisation de surveillance financière
1087,Quish & Co. Ltd,Zürich,X,,FINcontrol Suisse AG
1088,R&A Group Research & Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1089,R&H Trust Co. (Switzerland) AG,Zürich,,X,OSFIN Organisation de surveillance financière
1090,RAETIA Vermögensmanagement AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1091,RAM Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1092,RANES Capital Partners AG,Zürich,X,,FINcontrol Suisse AG
1093,Rare Capital AG,Zug,X,,OSFIN Organisation de surveillance financière
1094,Raschèr Independent Asset Management AG,Baar,X,,FINcontrol Suisse AG
1095,RCS Trust & Legal AG,Zürich,,X,FINcontrol Suisse AG
1096,Redstone Digital (Schweiz) GmbH,Zürich,X,,FINcontrol Suisse AG
1097,REINHARD VORSORGE-TREUHAND GMBH,Baden,X,,OSFIN Organisation de surveillance financière
1098,RELIANCE CAPITAL S.A.,Carouge GE,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1099,Reliance Trust Company SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1100,Renalco SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1101,Reposit SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1102,Resilience AG,Erlenbach ZH,X,,OSFIN Organisation de surveillance financière
1103,Responsible Returns GmbH,Zürich,X,,FINcontrol Suisse AG
1104,Retraites Helvétiques SA,Lausanne,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1105,Rexfin Asset Management SA,Lugano,X,,OSFIN Organisation de surveillance financière
1106,REYL Overseas AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1107,RF Investment AG,Baar,X,,FINcontrol Suisse AG
1108,RGB Consulenze SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1109,RH Asset Management SA,St-Sulpice VD,X,,OSFIN Organisation de surveillance financière
1110,Rhein Investors AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1111,Rhône Asset Management SA,Neuchâtel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1112,Rhône Gestion SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1113,Rhone Trustees (Switzerland) SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1114,Richfield Family Office SA,Paradiso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1115,RICHTWERT CAPITAL AG,Männedorf,X,,FINcontrol Suisse AG
1116,Rimoldi & Bergamini SA,Lugano,X,,OSFIN Organisation de surveillance financière
1117,Rivalt AG,Buonas,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1118,Riverfield AG,Zollikon,X,,FINcontrol Suisse AG
1119,Riverstone Management GmbH,Zürich,X,,OSFIN Organisation de surveillance financière
1120,Rivet Partners AG,Schindellegi,X,,OSFIN Organisation de surveillance financière
1121,Riviera Finance SA,Vevey,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1122,RJ Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1123,RKH Partner Invest GmbH,Bassersdorf,X,,FINcontrol Suisse AG
1124,RnR Finance SA,Hauterive NE,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1125,ROC Investment AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1126,Rocco Maiullari Vermögensverwaltung und Finanzberatung AG,Zürich,X,,FINcontrol Suisse AG
1127,Rockwell Investments AG,Baar,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1128,ROFLE A&WM SA,Roveredo GR,X,,OSFIN Organisation de surveillance financière
1129,ROGENTIN CONSULTING AG,Chur,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1130,Rohfin AG,Zürich,X,,FINcontrol Suisse AG
1131,Roland Brändli Vermögensverwaltung AG,Davos Platz,X,,OSFIN Organisation de surveillance financière
1132,"Rolf Kuhn, Private Investment Consulting Bodensee",Neukirch (Egnach),X,,FINcontrol Suisse AG
1133,ROSERT Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1134,Royalfid SA,Savosa,X,,OSFIN Organisation de surveillance financière
1135,RS Lagoinvest AG,St. Moritz,X,,FINcontrol Suisse AG
1136,Rubellius Capital AG,Zürich,X,,FINcontrol Suisse AG
1137,RUBICON ASSET MANAGEMENT SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1138,Rüetschi Zehnder AG,Frick,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1139,RUOSS CLEMENS + PARTNER AG,Zollikon,X,,FINcontrol Suisse AG
1140,RV Capital AG,Schindellegi,X,,OSFIN Organisation de surveillance financière
1141,RVT Finanz AG,Oberriet SG,X,,FINcontrol Suisse AG
1142,RWM Vermögensverwaltungs AG,Teufen ZH,X,,OSFIN Organisation de surveillance financière
1143,Safe & Sound Consulting SA,Lugano,X,,OSFIN Organisation de surveillance financière
1144,Safe Capital Management SA,Lugano,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1145,Saffery Trust (Suisse) SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1146,SAGEFOR Société Anonyme de Gérance de Fortunes,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1147,Salus Partners SA,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1148,Samarkand Capital Sàrl,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1149,Samuel S. Weber Vermögensverwaltung,Zug,X,,FINcontrol Suisse AG
1150,Saphir Invest SA,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1151,Sardona Group AG,Zürich,X,,FINcontrol Suisse AG
1152,Savair AG,Zürich,X,,FINcontrol Suisse AG
1153,Saxum Capital AG,Zürich,X,,FINcontrol Suisse AG
1154,SB Beratungs und Vermögensverwaltungs AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1155,SBS Finance AG,Zug,X,,FINcontrol Suisse AG
1156,SC Studio Consulenze SA,Chiasso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1157,Schaffhauser Vermögensverwaltung AG,Schaffhausen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1158,Schehrer Portfolio Management GmbH,Kilchberg ZH,X,,FINcontrol Suisse AG
1159,Scherrer & Partner Investment Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1160,Schindlers Trust Switzerland AG,Zug,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1161,Schlossberg&Co Wealth (Switzerland) AG,Zug,X,,FINcontrol Suisse AG
1162,Schmid & Partenaires Management Services S.A.,Signy,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1163,Schmid Management AG,Füllinsdorf,X,,OSFIN Organisation de surveillance financière
1164,Schmitz & Partner AG - Privates Depotmanagement,Minusio,X,,FINcontrol Suisse AG
1165,Schnyder & Nagel GmbH,Cham,X,,OSFIN Organisation de surveillance financière
1166,Schoeb Frôté SA,Neuchâtel 1,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1167,Schwarz & Partner Finanzkonsulenten AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1168,Scrypt Digital Investments AG,Zug,X,,FINcontrol Suisse AG
1169,Sea View Management S.A. ,Erlenbach ZH,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1170,Seefeldt und Partner GmbH,Zürich,X,,OSFIN Organisation de surveillance financière
1171,Segetia Wealth Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1172,Selma Finance AG,Zürich,X,,OSFIN Organisation de surveillance financière
1173,Semper Partners AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1174,SENECAS CAPITAL SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1175,sensusplus AG,Menziken,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1176,SEPT FINANCE SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1177,Septimio Capital SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1178,Sequoia Swiss Financial Advisors AG,Zürich,X,,OSFIN Organisation de surveillance financière
1179,Serenis SA,Grand-Lancy,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1180,Serpentine Ventures AG,Zürich,X,,FINcontrol Suisse AG
1181,Sertig Finanz AG,Davos Platz,X,,FINcontrol Suisse AG
1182,Sesame Active Investments SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1183,"SFB, Société Financière des Bastions SA",Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1184,SFO Partners SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1185,SFO Trust AG,Zürich,,X,FINcontrol Suisse AG
1186,SGF PARTNERS SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1187,SGF Surveillance et Gestion Financière SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1188,Shard Capital Advisors SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1189,SHW Invest AG,Zollikon,X,,FINcontrol Suisse AG
1190,SI Schwarz Investments AG,Baar,X,,OSFIN Organisation de surveillance financière
1191,SIAG Swiss Investment AG,Beinwil am See,X,,OSFIN Organisation de surveillance financière
1192,SIDENIA TRUSTEES LTD,Zürich,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1193,SIG-i Capital AG,Zug,X,,FINcontrol Suisse AG
1194,Signet Capital Management AG,Zürich,X,,FINcontrol Suisse AG
1195,sihlinvest ag,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1196,Silenos AG,Zürich,,X,OSFIN Organisation de surveillance financière
1197,Silver Arrow Wealth Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1198,Simurgh SA,Conches,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1199,Sinco Treuhand AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1200,Sinergia Wealth Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1201,SingAlliance (Switzerland) SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1202,SINVEST Finanz AG,Wohlen AG,X,,FINcontrol Suisse AG
1203,Sirioinvest SA,Chiasso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1204,Sirius Vermögensverwaltung AG,St. Gallen,X,,FINcontrol Suisse AG
1205,SKD Wealth Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1206,Sky Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1207,Skyline Trading AG,Schindellegi,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1208,Smart Wealth AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1209,Smart Wealth Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1210,Smartprofit Finder AG,Bäch SZ,X,,OSFIN Organisation de surveillance financière
1211,Soave Private Investors SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1212,Société de gestion M&R SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1213,Socinvest Finance SA,Cologny,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1214,SOGELAC SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1215,Sogerco SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1216,Solaia Financial Advisors AG,Zürich,X,,OSFIN Organisation de surveillance financière
1217,Solidinvest AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1218,Soparfid Fiduciaria SA,Lugano,X,,OSFIN Organisation de surveillance financière
1219,Sound Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1220,SPEARVEST SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1221,Spheric Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1222,SPI MANAGEMENT SA,Sion,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1223,Spring Investment Services AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1224,Spring Investments SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1225,SQUARE Consulting AG,Zürich,X,,FINcontrol Suisse AG
1226,SSA Swiss Advisors AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1227,SSI Wealth Management AG,Bäch SZ,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1228,St. Columbanus AG,Teufen AR,X,,OSFIN Organisation de surveillance financière
1229,St. Gotthard Wealth AG,Zug,X,,FINcontrol Suisse AG
1230,Stableton Financial AG,Zug,X,,FINcontrol Suisse AG
1231,STANHOPE CAPITAL (SWITZERLAND) SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1232,Start Capital SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1233,"Stebler AG, Vermögensverwaltung",Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1234,Stelinvest SA,Chiasso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1235,Stephen Berent,Genève,X,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1236,Sto Bene Partners SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1237,Stoa Capital AG,Pfäffikon SZ,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1238,Stolberg Investment Governance AG,Zürich,X,,OSFIN Organisation de surveillance financière
1239,Stonehage Fleming Investment Management (Suisse) AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1240,Stork Capital Sàrl,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1241,Stouff Capital SA,Vésenaz,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1242,STRATEGIC ASSET MANAGEMENT SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1243,STRATEGIE FINANCE SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
